"topic","instruction","output"
"pagamento","Escolhi o produto, mas não apareceu opção de pagamento.","Pode ser erro no software. Reinicie a operação ou procure suporte."
"pagamento","Minha nota ficou presa no leitor.","Por segurança, a máquina não permite abrir compartimentos. Por favor, entre em contato para solução."
"pagamento","A máquina me cobrou, mas entregou outro produto.","Anote o código do produto que saiu e o desejado. Envie ao suporte para compensação."
"pagamento","Fiz o Pix, mas a máquina reiniciou sozinha.","Esse comportamento indica falha técnica. Envie o comprovante ao suporte imediatamente."
"pagamento","Aproximei meu smartwatch e nada aconteceu.","Verifique se ele está configurado para pagamento. Tente com outro dispositivo."
"pagamento","A tela piscou e travou no meio do pagamento.","Aguarde 1 minuto. Se não voltar ao normal, não prossiga com o pagamento."
"pagamento","A máquina diz que está sem conexão.","Ela não poderá processar pagamentos. Espere alguns minutos ou use outra máquina."
"pagamento","Tentei usar duas notas e uma não foi reconhecida.","Use apenas uma nota por vez e evite cédulas danificadas."
"pagamento","Aproximei o cartão duas vezes e agora foi cobrado em dobro.","Envie ambos os comprovantes ao suporte para análise e correção."
"pagamento","Apareceu 'erro de leitura' quando inseri o cartão.","Tente remover e inserir novamente. Se persistir, utilize outra forma de pagamento."
"pagamento","O QR Code não apareceu.","Esse erro pode ser momentâneo. Reinicie o processo de compra."
"pagamento","A máquina aceitou a nota mas travou depois.","Anote o horário e procure nosso suporte para tratar do reembolso."
"pagamento","Recebi mensagem do banco, mas não caiu o refri.","Guarde a notificação e envie ao nosso atendimento para verificação."
"pagamento","A máquina devolveu meu cartão sem pedir senha.","Talvez o pagamento não tenha sido processado. Verifique no visor se foi confirmado."
"pagamento","O visor ficou congelado no valor do produto.","Isso pode impedir o pagamento. Aguarde e reinicie se necessário."
"pagamento","O botão de confirmar pagamento não responde.","Toques repetidos podem travar a tela. Tente reiniciar a compra."
"pagamento","A máquina guarda meus dados bancários?","Não. Nenhuma informação bancária é armazenada. Todo pagamento é processado com segurança por terceiros certificados."
"pagamento","É verdade que Pix é mais rápido que cartão?","Sim, geralmente o Pix é confirmado instantaneamente, mas depende da conexão do seu app bancário."
"pagamento","Tem alguma vantagem em pagar com Pix?","Atualmente não oferecemos vantagens específicas, mas o Pix costuma ser o método mais rápido."
"pagamento","Posso pagar duas vezes e pegar dois refrigerantes seguidos?","Sim! Basta repetir o processo de escolha e pagamento para cada item."
"pagamento","É possível cadastrar meu cartão na máquina?","Não. A máquina não permite cadastro de cartões por segurança."
"pagamento","Se eu pagar e sair correndo, o refrigerante ainda cai?","Sim, o produto será liberado normalmente. Só não esqueça de pegá-lo!"
"pagamento","As máquinas aceitam pagamento offline?","Não. Todas as transações exigem conexão ativa com os sistemas bancários."
"pagamento","Essas máquinas são seguras mesmo?","Sim. Todos os pagamentos seguem protocolos de criptografia atualizados e certificados."
"pagamento","Já teve caso de clonagem nessas máquinas?","Nunca tivemos registros desse tipo. Usamos leitores certificados e atualizados contra fraudes."
"pagamento","O sistema da máquina é vinculado a alguma operadora de banco?","Trabalhamos com processadoras de pagamento autorizadas, mas a máquina em si não é vinculada diretamente a bancos."
"pagamento","Consigo ver meu histórico de compras na máquina?","Não. A máquina não guarda informações do usuário após a transação."
"pagamento","E se eu pagar e esquecer de pegar o refrigerante?","Infelizmente, a máquina não detecta abandono. Sugerimos atenção ao final da compra."
"pagamento","Posso usar qualquer app de pagamento com QR Code?","Sim, desde que o app seja compatível com Pix e leia QR Codes padrão."
"pagamento","As máquinas aceitam pagamento por aproximação de todos os cartões?","Sim, desde que o cartão tenha tecnologia NFC habilitada e esteja desbloqueado para uso."
"pagamento","A máquina consegue ler meu cartão mesmo com capa no celular?","Na maioria dos casos, sim. Mas capas metálicas ou muito espessas podem dificultar a leitura por aproximação."
"pagamento","É normal o visor demorar depois do pagamento?","Pode ocorrer em horários de pico ou com conexão instável. Espere alguns segundos."
"pagamento","Se eu sair sem pagar, a máquina avisa alguém?","Não há notificação, mas a compra não será concluída sem pagamento válido."
"pagamento","É possível pagar usando carteira digital internacional?","Sim, desde que a carteira esteja habilitada para o Brasil e leia QR Code padrão ou use NFC."
"pagamento","Tem como usar dois métodos de pagamento para um mesmo refrigerante?","Não. A máquina só aceita um método de pagamento por transação."
"pagamento","O visor da máquina mostra meu saldo ou valor disponível?","Não. A máquina apenas exibe o valor do produto e a confirmação de pagamento."
"produtos","Quais refrigerantes estão disponíveis na máquina?","Atualmente temos Coca-Cola, Guaraná, Fanta Laranja, Sprite e Pepsi. A disponibilidade pode variar."
"produtos","Tem Fanta Uva na máquina?","No momento, Fanta Uva não está disponível. Verifique o visor para os sabores atualizados."
"produtos","A máquina vende Pepsi?","Sim! Pepsi está entre as opções disponíveis, salvo em casos de estoque esgotado."
"produtos","Quais sabores de refrigerante vocês oferecem?","Trabalhamos com sabores tradicionais como cola, guaraná, laranja e limão."
"produtos","Qual é o refrigerante mais vendido da máquina?","Geralmente a Coca-Cola é o mais procurado, mas isso pode variar por local."
"produtos","Tem refrigerante zero açúcar?","Sim, temos opções zero açúcar como Coca-Cola Zero e Guaraná Zero, dependendo da unidade."
"produtos","A máquina vende bebidas além de refrigerante?","Não, atualmente só trabalhamos com refrigerantes em lata de 350ml."
"produtos","Tem refrigerante de limão?","Sim, o Sprite é nossa opção de refrigerante com sabor limão."
"produtos","Quais são os sabores mais comuns disponíveis?","Os sabores mais comuns são cola, guaraná, laranja e limão."
"produtos","Vocês têm refrigerante de laranja?","Sim! A Fanta Laranja está entre os produtos disponíveis."
"produtos","Posso ver todos os produtos antes de pagar?","Sim. O visor mostra todos os refrigerantes disponíveis antes da seleção."
"produtos","A máquina mostra quando o produto está esgotado?","Sim, os produtos esgotados são sinalizados e não podem ser selecionados."
"produtos","Como sei se tem Coca-Cola na máquina?","Ao iniciar a compra, a tela exibirá os refrigerantes disponíveis no momento."
"produtos","A máquina vende latas de 2 litros?","Não, oferecemos apenas latas de 350ml."
"produtos","Tem opção de Guaraná Antarctica?","Sim, temos Guaraná Antarctica tradicional e, em algumas máquinas, a versão zero."
"produtos","O produto está gelado?","Sim, todos os refrigerantes são armazenados em temperatura ideal de consumo."
"produtos","A máquina tem bebidas com gás e sem gás?","Não, todos os refrigerantes oferecidos contêm gás."
"produtos","Quantos tipos de refrigerante estão disponíveis?","Geralmente, entre 4 e 6 opções diferentes por máquina."
"produtos","Tem refrigerante com sabor exótico?","Trabalhamos apenas com sabores tradicionais neste momento."
"produtos","O refrigerante sai em garrafa ou lata?","Todos os produtos são entregues em lata de alumínio, 350ml."
"produtos","Vocês mudam os sabores ao longo do tempo?","Sim! O sortimento pode mudar conforme demanda e reposição de estoque."
"produtos","Tem opção de refrigerante sem cafeína?","Sim, alguns sabores como Fanta e Sprite são naturalmente livres de cafeína."
"produtos","A máquina informa quando o produto está quase acabando?","Não, mas quando um item se esgota, ele desaparece do menu automaticamente."
"produtos","Todos os produtos custam o mesmo valor?","Sim, todos os refrigerantes possuem o mesmo preço, independentemente do sabor."
"produtos","Posso escolher mais de um refrigerante por vez?","Sim, após concluir uma compra, você pode iniciar outra e escolher um novo sabor."
"produtos","Tem Fanta Maracujá ou outros sabores especiais?","Esses sabores não fazem parte do sortimento padrão. Consulte o visor da máquina."
"produtos","Vocês trabalham com marcas diferentes em cada máquina?","Algumas máquinas variam o sortimento de acordo com o local e o público."
"produtos","A máquina indica quais sabores estão disponíveis em tempo real?","Sim, a interface é atualizada automaticamente conforme o estoque."
"produtos","Se o refrigerante não sair, eu perco o produto?","Caso o refrigerante esteja disponível mas não seja entregue, entre em contato com nosso suporte."
"produtos","É possível ver imagens dos refrigerantes na tela?","Sim, cada opção exibe o nome e a imagem correspondente no visor interativo."
"produtos","Oi, que refri tem aí hoje?","Olá! Hoje temos Coca-Cola, Fanta Laranja, Guaraná, Pepsi e Sprite. Dá uma olhadinha no visor da máquina!"
"produtos","Tem algo sem açúcar pra quem tá de dieta?","Sim! Temos opções como Coca-Cola Zero e Guaraná Zero, dependendo da unidade."
"produtos","Tô afim de um refri de laranja, tem?","Tem sim! A Fanta Laranja está disponível na maioria das máquinas."
"produtos","Queria um refri bem gelado, qual vocês têm?","Todos os nossos refrigerantes são servidos gelados. Temos Coca, Pepsi, Guaraná e mais!"
"produtos","Vocês mudam os sabores de vez em quando?","Sim! O sortimento pode variar conforme a reposição de estoque ou demanda da região."
"produtos","Essa máquina tem Sprite? É meu favorito.","Sim, temos Sprite! Mas depende da unidade e do estoque no momento."
"produtos","Qual refrigerante vende mais aqui?","Normalmente, a Coca-Cola é a mais escolhida pelos clientes."
"produtos","Tem como saber se tem Coca antes de pagar?","Sim! O visor da máquina mostra os refrigerantes disponíveis antes da compra."
"produtos","Queria algo diferente, tem sabores novos?","Por enquanto, temos apenas sabores tradicionais, mas novidades podem surgir em breve."
"produtos","Vocês oferecem refrigerantes importados?","Atualmente não. Nossas máquinas trabalham com marcas nacionais bem conhecidas."
"produtos","Meu pai só bebe Guaraná. Tem aí?","Tem sim! Guaraná Antarctica está entre os produtos mais comuns."
"produtos","Oi, a máquina tem bebida sem cafeína?","Sim! Bebidas como Sprite e Fanta são naturalmente livres de cafeína."
"produtos","A máquina tem alguma bebida sem gás?","Não, no momento todos os produtos disponíveis são refrigerantes com gás."
"produtos","Tem algum que não seja doce demais?","Opções zero açúcar podem ser uma boa pedida! Veja no visor o que está disponível."
"produtos","Eu posso pegar dois refris diferentes de uma vez?","Você pode sim! Basta concluir uma compra e começar outra logo em seguida."
"produtos","Essa máquina aqui vende Pepsi também?","Sim, algumas unidades oferecem Pepsi. Verifique no visor da sua máquina."
"produtos","Vocês têm Guaraná Zero?","Em algumas máquinas, sim. Veja se está disponível no menu ao iniciar a compra."
"produtos","Queria saber se ainda tem refri, tá muito tarde.","A máquina funciona 24h e repõe automaticamente. Mas pode ocorrer de alguns sabores esgotarem."
"produtos","Tem refrigerante light ou só zero?","Oferecemos versões zero açúcar. A linha light não está disponível atualmente."
"produtos","Tô de olho num refri com menos calorias. Tem opção?","Sim! As versões zero são ideais para quem procura algo com menos calorias."
"produtos","Escolhi um refrigerante, mas ele não saiu.","Sentimos muito! Guarde o horário da compra e entre em contato com o suporte para análise e reembolso."
"produtos","A máquina mostrou que tinha Coca, mas estava esgotada.","Pode ter ocorrido um atraso na atualização do estoque. Por favor, tente outro sabor ou contate o suporte."
"produtos","Cliquei na Fanta e saiu Sprite. Por quê?","Isso pode indicar erro no sistema interno. Anote o código do produto e fale com o suporte."
"produtos","A máquina não mostrou nenhuma opção de refrigerante.","Pode ser que todos os produtos estejam esgotados. Informe o local da máquina ao suporte técnico."
"produtos","Apareceu 'Produto indisponível' depois que paguei.","Anote o horário e o produto escolhido. Você pode solicitar reembolso pelo nosso canal de atendimento."
"produtos","Todos os botões estão apagados, é normal?","Não. Isso indica falha no visor ou falta de estoque. Evite efetuar pagamento e chame o suporte."
"produtos","O visor mostra refri, mas nenhum botão funciona.","Pode haver falha no painel de seleção. Reinicie a operação ou procure outra máquina."
"produtos","A máquina mostrou Pepsi, mas depois sumiu da lista.","É possível que o estoque tenha acabado durante o processo. Escolha outra opção disponível."
"produtos","Comprei dois refrigerantes iguais, mas um estava quente.","Isso não deveria ocorrer. Anote o código da máquina e entre em contato conosco."
"produtos","Tem opção na tela, mas o refrigerante não cai.","Pode ser uma obstrução. Aguarde alguns segundos ou entre em contato se não resolver."
"produtos","A imagem do refrigerante não corresponde ao sabor.","Desculpe! Em caso de erro visual, verifique o nome do produto antes de confirmar."
"produtos","A máquina deixou eu pagar mesmo com o produto esgotado.","Isso é uma falha de sistema. Guarde o comprovante e contate o suporte imediatamente."
"produtos","Escolhi Guaraná, mas recebi Coca.","Isso não deveria acontecer. Informe o erro ao suporte com local, data e horário da compra."
"produtos","Não encontrei meu refrigerante favorito, por quê?","O sortimento pode variar de acordo com a unidade e o reabastecimento do dia."
"produtos","A máquina mostra produto esgotado para tudo.","Isso indica falta de estoque. A equipe responsável será notificada para reabastecimento."
"produtos","A máquina liberou o produto, mas estava amassado.","Lamentamos o transtorno. Você pode reportar o ocorrido para que a máquina seja verificada."
"produtos","A tela travou no menu de refrigerantes.","Aguarde alguns segundos. Se não retornar, reinicie a seleção ou chame o suporte."
"produtos","Aparece 'falha na seleção' quando escolho qualquer produto.","Isso pode indicar falha técnica. Evite pagar e chame o suporte técnico da máquina."
"produtos","Recebi um refrigerante vencido.","Entre em contato imediatamente com suporte e envie uma foto do rótulo para verificação."
"produtos","A máquina liberou um refrigerante diferente do que escolhi.","Guarde a lata e os dados da máquina. Isso ajudará no processo de correção ou reembolso."
"produtos","O visor mostrou refrigerante, mas a máquina estava vazia.","Esse erro pode ocorrer por atraso na atualização do sistema. Avise o suporte."
"produtos","Fiz o pagamento, mas não consegui selecionar o produto.","Isso pode ser falha no sistema. Envie os dados da transação para reembolso."
"produtos","O sabor indicado no visor não bate com a imagem.","Recomendamos conferir sempre o nome do produto antes de confirmar a compra."
"produtos","A máquina caiu o refri, mas tava vazando.","Entre em contato e informe o problema. Vamos encaminhar para verificação."
"produtos","A bebida que recebi estava sem gás.","Lamentamos o inconveniente. Guarde a embalagem e entre em contato com o SAC."
"produtos","A opção de Coca desapareceu enquanto eu pagava.","Isso pode ter sido uma atualização de estoque em tempo real. Se pagou, contate o suporte."
"produtos","O botão do meu sabor favorito não está funcionando.","Pode ser um problema físico na tecla. Tente outra opção ou outra máquina próxima."
"produtos","O refrigerante saiu, mas a lata estava suja.","Desculpe! Enviaremos equipe para verificação e limpeza. Informe a localização da máquina."
"produtos","O visor está travado em uma única opção de refri.","Isso pode ser falha no software. Reinicie ou evite uso até a correção."
"produtos","O sabor que escolhi saiu, mas estava em outro idioma.","Houve erro de rotulagem na interface. Por favor, informe para correção futura."
"produtos","Esses refrigerantes mudam conforme a estação?","Sim, em algumas regiões adaptamos os sabores conforme a demanda e época do ano."
"produtos","É verdade que algumas máquinas têm mais sabores?","Sim, o sortimento pode variar conforme o espaço interno e localização da máquina."
"produtos","A máquina já vendeu outros tipos de bebida no passado?","Sim, em alguns testes oferecemos sucos e águas, mas hoje focamos em refrigerantes."
"produtos","As latas são recicláveis?","Sim! Todas as latas fornecidas são de alumínio reciclável. Incentivamos o descarte consciente."
"produtos","Vocês pensam em colocar novos sabores no futuro?","Sim! Estamos sempre avaliando novos sabores com base nas preferências dos clientes."
"produtos","Esses refrigerantes são armazenados por quanto tempo?","As latas são reabastecidas semanalmente e verificadas dentro da validade."
"produtos","Existe alguma diferença entre os refrigerantes da máquina e os do mercado?","Não. São os mesmos produtos, com o mesmo padrão de qualidade."
"produtos","Posso sugerir um sabor novo para a máquina?","Claro! Você pode enviar sugestões pelo canal de atendimento ao cliente."
"produtos","Esses refrigerantes vêm direto da fábrica?","Eles vêm de distribuidores autorizados e seguem o mesmo padrão logístico do mercado."
"produtos","Por que não tem refrigerante em garrafa?","Por questões de espaço e refrigeração, optamos por latas, que resfriam mais rápido e são mais práticas."
"produtos","As latas são sempre de 350ml?","Sim, todas as máquinas operam com latas padrão de 350ml para padronização do sistema."
"produtos","Vocês avaliam quais sabores são mais vendidos?","Sim, utilizamos essas informações para ajustar o sortimento em cada local."
"produtos","A máquina já teve refrigerantes diferentes?","Sim, já trabalhamos com outros sabores como Citrus e Tônica em edições limitadas."
"produtos","É possível ver a tabela nutricional do produto na máquina?","Não, mas você pode consultar as informações nutricionais na embalagem da lata."
"produtos","Essas máquinas têm sabor diferente dependendo da cidade?","Algumas cidades recebem sortimentos personalizados de acordo com a preferência local."
"produtos","Os refrigerantes ficam muito tempo na máquina?","Não. O reabastecimento é frequente para garantir qualidade e frescor."
"produtos","Vocês colocam refrigerante light algum dia?","Atualmente oferecemos versões zero açúcar, mas sabores light podem ser avaliados futuramente."
"produtos","É normal ter menos opções à noite?","Sim, o estoque pode se esgotar ao longo do dia. Recomendamos usar a máquina nas primeiras horas."
"produtos","Os refrigerantes são gelados na hora ou ficam sempre refrigerados?","Eles permanecem refrigerados o tempo todo dentro da máquina."
"produtos","As opções da máquina mudam entre feriados e fins de semana?","Pode haver ajustes no reabastecimento conforme a demanda de cada período."
"uso da máquina","Como eu uso essa máquina?","Basta tocar na tela, escolher o refrigerante desejado, selecionar o método de pagamento e aguardar a liberação do produto."
"uso da máquina","Onde eu aperto pra escolher o refri?","Toque na tela ou use os botões de seleção, dependendo do modelo da máquina."
"uso da máquina","Preciso apertar algum botão depois de pagar?","Não. Após a confirmação do pagamento, o produto é liberado automaticamente."
"uso da máquina","A máquina tem tela sensível ao toque?","Sim! Você pode navegar pelas opções diretamente tocando na tela."
"uso da máquina","Como saber qual número corresponde a cada refrigerante?","Cada produto tem um código ou imagem na tela que indica a sua posição."
"uso da máquina","Tem algum manual de instruções na máquina?","Sim, há orientações básicas na própria tela inicial para auxiliar no uso."
"uso da máquina","A máquina fala ou só mostra no visor?","A maioria mostra instruções visuais, mas alguns modelos também têm comandos sonoros."
"uso da máquina","Onde eu vejo o preço de cada refrigerante?","O visor exibe os preços ao lado do nome ou da imagem de cada produto."
"uso da máquina","Consigo cancelar uma escolha depois de selecionar?","Sim, antes de efetuar o pagamento, é possível voltar e escolher outro produto."
"uso da máquina","Como faço pra voltar ao menu inicial?","Toque no botão 'voltar' na tela ou espere alguns segundos de inatividade."
"uso da máquina","A máquina mostra o nome dos produtos?","Sim, cada opção é exibida com nome, imagem e valor correspondente."
"uso da máquina","Preciso apertar com força na tela?","Não. Um leve toque é suficiente para selecionar as opções."
"uso da máquina","Onde o refrigerante sai depois da compra?","O produto será liberado na bandeja de retirada na parte inferior da máquina."
"uso da máquina","Como sei que finalizei a compra?","A tela mostrará uma mensagem de confirmação e o produto será liberado."
"uso da máquina","Qual é a ordem certa pra usar a máquina?","1. Escolha o produto, 2. Selecione a forma de pagamento, 3. Pegue o refrigerante."
"uso da máquina","Tem botão físico ou é só touchscreen?","A maioria dos modelos atuais usa touchscreen, mas alguns têm botões laterais."
"uso da máquina","Posso usar a máquina com luvas?","Sim, desde que as luvas não impeçam a sensibilidade da tela ao toque."
"uso da máquina","Como eu começo uma nova compra?","Após retirar o produto, a máquina volta automaticamente para a tela inicial."
"uso da máquina","A máquina mostra o tempo restante da operação?","Sim, em alguns modelos o visor mostra um cronômetro de inatividade."
"uso da máquina","Consigo ver as opções antes de pagar?","Sim. Você navega entre os produtos e só paga depois de selecionar um."
"uso da máquina","Tem que confirmar a escolha antes de pagar?","Sim, a máquina sempre pede confirmação antes de exibir os métodos de pagamento."
"uso da máquina","Como saber se a máquina está pronta para usar?","A tela exibe uma mensagem de 'Pronta' ou 'Escolha seu produto' quando está operante."
"uso da máquina","O visor mostra instruções passo a passo?","Sim, cada etapa do processo é orientada na tela para facilitar o uso."
"uso da máquina","É possível usar a máquina se eu for baixo ou cadeirante?","Sim, a altura do visor e do compartimento de entrega foi projetada para acessibilidade."
"uso da máquina","Tem alguma luz indicando que o produto está pronto?","Algumas máquinas usam sinais visuais ou sonoros para indicar o fim da operação."
"uso da máquina","Como sei que escolhi certo?","A tela confirma a escolha e exibe uma imagem do produto antes do pagamento."
"uso da máquina","Tem como aumentar o texto da tela?","Por enquanto não há opção de zoom, mas os ícones são grandes e de fácil leitura."
"uso da máquina","Preciso inserir o cartão antes ou depois de escolher?","Primeiro escolha o produto, depois a forma de pagamento será solicitada."
"uso da máquina","Como retorno se eu clicar na opção errada?","Use o botão 'voltar' na interface ou aguarde o tempo de reinício."
"uso da máquina","O visor é visível sob luz solar?","Sim, a tela é preparada para boa visibilidade em ambientes iluminados."
"uso da máquina","Oi, nunca usei essa máquina, como faz?","Sem problemas! Toque na tela, escolha o refrigerante, pague e retire seu produto na parte de baixo."
"uso da máquina","É só apertar e pagar?","Isso mesmo! Primeiro escolha o produto na tela e depois siga as instruções para pagamento."
"uso da máquina","Tô com pressa, como uso rapidinho?","Toque na tela, escolha seu refrigerante preferido e pague com cartão por aproximação. É o jeito mais rápido!"
"uso da máquina","Essa máquina é fácil de mexer?","Sim, ela foi feita pra ser bem intuitiva. As instruções aparecem na tela passo a passo."
"uso da máquina","Tem como escolher o refri só de olhar a imagem?","Sim! As imagens dos produtos aparecem na tela junto com os nomes e preços."
"uso da máquina","Preciso apertar forte na tela? Tá meio dura.","Não precisa força, basta um toque leve com o dedo na opção desejada."
"uso da máquina","A máquina fala ou só mostra as coisas?","Na maioria das vezes, ela só mostra na tela. Alguns modelos podem ter sons de aviso."
"uso da máquina","Tô meio perdido, onde começo?","Comece tocando na tela! O menu com os refrigerantes vai aparecer logo em seguida."
"uso da máquina","Tem que confirmar antes de pagar, né?","Sim, a máquina sempre mostra um resumo da escolha antes de continuar para o pagamento."
